"Month";"CPI"
"1950-01";77.5
"1950-02";77.6
"1950-03";78.1
"1950-04";78.3
"1950-05";78.3
"1950-06";78.9
"1950-07";79.5
"1950-08";80
"1950-09";80.7
"1950-10";82
"1950-11";82.4
"1950-12";82.5
"1951-01";83.4
"1951-02";84.4
"1951-03";85.8
"1951-04";86.5
"1951-05";86.8
"1951-06";88
"1951-07";88.7
"1951-08";89.4
"1951-09";90.2
"1951-10";90.6
"1951-11";91.3
"1951-12";91.4
"1952-01";91.5
"1952-02";91
"1952-03";90.5
"1952-04";90.4
"1952-05";89.7
"1952-06";89.8
"1952-07";89.9
"1952-08";89.8
"1952-09";89.9
"1952-10";89.8
"1952-11";89.9
"1952-12";89.6
"1953-01";89.6
"1953-02";89.4
"1953-03";88.9
"1953-04";88.7
"1953-05";88.5
"1953-06";88.9
"1953-07";89.3
"1953-08";89.6
"1953-09";89.9
"1953-10";90.3
"1953-11";89.9
"1953-12";89.6
"1954-01";89.6
"1954-02";89.6
"1954-03";89.4
"1954-04";89.5
"1954-05";89.4
"1954-06";89.9
"1954-07";89.9
"1954-08";90.6
"1954-09";90.4
"1954-10";90.4
"1954-11";90.4
"1954-12";90.2
"1955-01";90.1
"1955-02";90
"1955-03";89.8
"1955-04";89.9
"1955-05";90.1
"1955-06";89.7
"1955-07";89.8
"1955-08";90.1
"1955-09";90.4
"1955-10";90.5
"1955-11";90.5
"1955-12";90.5
"1956-01";90.4
"1956-02";90.1
"1956-03";90.1
"1956-04";90.2
"1956-05";90.2
"1956-06";91.2
"1956-07";91.7
"1956-08";92.2
"1956-09";92.1
"1956-10";92.7
"1956-11";93.1
"1956-12";93.2
"1957-01";93.1
"1957-02";93.3
"1957-03";93.3
"1957-04";93.6
"1957-05";93.7
"1957-06";94.1
"1957-07";94.3
"1957-08";94.9
"1957-09";95.4
"1957-10";95.5
"1957-11";95.4
"1957-12";95.3
"1958-01";95.5
"1958-02";95.7
"1958-03";96.2
"1958-04";96.9
"1958-05";96.8
"1958-06";96.8
"1958-07";96.5
"1958-08";96.9
"1958-09";97.2
"1958-10";97.5
"1958-11";97.8
"1958-12";97.7
"1959-01";97.6
"1959-02";97.3
"1959-03";97.1
"1959-04";97.1
"1959-05";97.2
"1959-06";96.7
"1959-07";97.4
"1959-08";97.8
"1959-09";98.4
"1959-10";99.1
"1959-11";99.3
"1959-12";99
"1960-01";98.7
"1960-02";98.5
"1960-03";98.2
"1960-04";98.7
"1960-05";98.6
"1960-06";98.8
"1960-07";98.7
"1960-08";99
"1960-09";99.4
"1960-10";100.2
"1960-11";100.3
"1960-12";100.3
"1961-01";100
"1961-02";99.8
"1961-03";99.9
"1961-04";99.9
"1961-05";99.8
"1961-06";99.8
"1961-07";99.8
"1961-08";99.9
"1961-09";99.9
"1961-10";100
"1961-11";100.4
"1961-12";100.5
"1962-01";100.4
"1962-02";100.5
"1962-03";100.4
"1962-04";100.9
"1962-05";100.7
"1962-06";101
"1962-07";101.4
"1962-08";101.7
"1962-09";101.4
"1962-10";101.8
"1962-11";102.1
"1962-12";102.1
"1963-01";102.2
"1963-02";102.2
"1963-03";102.2
"1963-04";102.4
"1963-05";102.4
"1963-06";102.8
"1963-07";103.3
"1963-08";103.6
"1963-09";103.3
"1963-10";103.4
"1963-11";103.7
"1963-12";103.9
"1964-01";103.9
"1964-02";104.1
"1964-03";104.2
"1964-04";104.5
"1964-05";104.5
"1964-06";104.7
"1964-07";105.4
"1964-08";105.3
"1964-09";105
"1964-10";105
"1964-11";105.2
"1964-12";105.9
"1965-01";106
"1965-02";106.2
"1965-03";106.3
"1965-04";106.6
"1965-05";106.8
"1965-06";107.6
"1965-07";108
"1965-08";107.9
"1965-09";107.7
"1965-10";107.8
"1965-11";108.5
"1965-12";109
"1966-01";109.3
"1966-02";110
"1966-03";110.2
"1966-04";110.8
"1966-05";111
"1966-06";111.3
"1966-07";111.7
"1966-08";112.2
"1966-09";112.3
"1966-10";112.5
"1966-11";112.6
"1966-12";112.9
"1967-01";113
"1967-02";113.1
"1967-03";113.4
"1967-04";114.4
"1967-05";114.6
"1967-06";115.2
"1967-07";116.3
"1967-08";116.8
"1967-09";116.6
"1967-10";116.5
"1967-11";116.9
"1967-12";117.5
"1968-01";118.1
"1968-02";118.2
"1968-03";118.6
"1968-04";119.3
"1968-05";119.3
"1968-06";119.7
"1968-07";120.4
"1968-08";120.7
"1968-09";121.1
"1968-10";121.4
"1968-11";121.9
"1968-12";122.3
"1969-01";122.6
"1969-02";122.6
"1969-03";123.2
"1969-04";124.6
"1969-05";124.9
"1969-06";125.9
"1969-07";126.4
"1969-08";126.9
"1969-09";126.6
"1969-10";126.8
"1969-11";127.4
"1969-12";127.9
"1970-01";128.2
"1970-02";128.7
"1970-03";128.9
"1970-04";129.7
"1970-05";129.6
"1970-06";129.9
"1970-07";130.5
"1970-08";130.5
"1970-09";130.2
"1970-10";130.3
"1970-11";130.3
"1970-12";129.8
"1971-01";130.3
"1971-02";130.9
"1971-03";131.3
"1971-04";132.2
"1971-05";132.7
"1971-06";133
"1971-07";134.1
"1971-08";135
"1971-09";134.7
"1971-10";134.9
"1971-11";135.4
"1971-12";136.3
"1972-01";136.7
"1972-02";137.3
"1972-03";137.4
"1972-04";138.2
"1972-05";138.3
"1972-06";138.5
"1972-07";140.2
"1972-08";141.3
"1972-09";141.8
"1972-10";142
"1972-11";142.3
"1972-12";143.3
"1973-01";144.5
"1973-02";145.3
"1973-03";145.7
"1973-04";147.3
"1973-05";148.4
"1973-06";149.7
"1973-07";151
"1973-08";153
"1973-09";153.9
"1973-10";154.3
"1973-11";155.5
"1973-12";156.4
